time,value,label
2025-06-07 00:00:00,12.5,0
2025-06-07 00:05:00,14.7,0
2025-06-07 00:10:00,18.8,0
2025-06-07 00:15:00,12.3,0
2025-06-07 00:20:00,13.3,0
2025-06-07 00:25:00,16.3,0
2025-06-07 00:30:00,12.6,0
2025-06-07 00:35:00,15.3,0
2025-06-07 00:40:00,15.7,0
2025-06-07 00:45:00,12.2,0
2025-06-07 00:50:00,17.3,0
2025-06-07 00:55:00,14.5,0
2025-06-07 01:00:00,12.6,0
2025-06-07 01:05:00,13.6,0
2025-06-07 01:10:00,17.1,0
2025-06-07 01:15:00,15.1,0
2025-06-07 01:20:00,10.5,0
2025-06-07 01:25:00,14.5,0
2025-06-07 01:30:00,17.7,0
2025-06-07 01:35:00,18.4,0
2025-06-07 01:40:00,13.9,0
2025-06-07 01:45:00,17.0,0
2025-06-07 01:50:00,13.2,0
2025-06-07 01:55:00,14.9,0
2025-06-07 02:00:00,14.5,0
2025-06-07 02:05:00,14.1,0
2025-06-07 02:10:00,14.0,0
2025-06-07 02:15:00,11.2,0
2025-06-07 02:20:00,11.3,0
2025-06-07 02:25:00,16.1,0
2025-06-07 02:30:00,16.5,0
2025-06-07 02:35:00,14.3,0
2025-06-07 02:40:00,12.4,0
2025-06-07 02:45:00,17.6,0
2025-06-07 02:50:00,12.7,0
2025-06-07 02:55:00,17.2,0
2025-06-07 03:00:00,14.7,0
2025-06-07 03:05:00,12.7,0
2025-06-07 03:10:00,11.9,0
2025-06-07 03:15:00,18.0,0
2025-06-07 03:20:00,8.87,0
2025-06-07 03:25:00,13.7,0
2025-06-07 03:30:00,15.1,0
2025-06-07 03:35:00,12.5,0
2025-06-07 03:40:00,15.8,0
2025-06-07 03:45:00,16.6,0
2025-06-07 03:50:00,16.1,0
2025-06-07 03:55:00,10.6,0
2025-06-07 04:00:00,10.5,0
2025-06-07 04:05:00,14.7,0
2025-06-07 04:10:00,13.7,0
2025-06-07 04:15:00,13.9,0
2025-06-07 04:20:00,12.7,0
2025-06-07 04:25:00,14.9,0
2025-06-07 04:30:00,14.4,0
2025-06-07 04:35:00,19.0,0
2025-06-07 04:40:00,14.1,0
2025-06-07 04:45:00,11.8,0
2025-06-07 04:50:00,10.9,0
2025-06-07 04:55:00,18.9,0
2025-06-07 05:00:00,9.67,0
2025-06-07 05:05:00,13.4,0
2025-06-07 05:10:00,14.5,0
2025-06-07 05:15:00,10.1,0
2025-06-07 05:20:00,14.4,0
2025-06-07 05:25:00,14.0,0
2025-06-07 05:30:00,17.3,0
2025-06-07 05:35:00,16.7,0
2025-06-07 05:40:00,10.8,0
2025-06-07 05:45:00,17.1,0
